##### Q = 0
Solution 3, t = 11/7, spins [3, 5, 7, 9, 11, 13], shape w^alpha (1-w)^0, Q = 0 polynomial shapes
   alpha = 5.9: relative residual 0.986015  (27 equations, 2 unknowns)
   alpha = 5.95: relative residual 0.986018  (27 equations, 2 unknowns)
   alpha = 6.0: relative residual 0.986016  (27 equations, 2 unknowns)
   alpha = 6.05: relative residual 0.986009  (27 equations, 2 unknowns)
   alpha = 6.1: relative residual 0.985998  (27 equations, 2 unknowns)
   alpha = 6.15: relative residual 0.985983  (27 equations, 2 unknowns)
   alpha = 6.2: relative residual 0.985965  (27 equations, 2 unknowns)
   alpha = 6.25: relative residual 0.985943  (27 equations, 2 unknowns)
   alpha = 6.3: relative residual 0.985918  (27 equations, 2 unknowns)
   alpha = 6.35: relative residual 0.985891  (27 equations, 2 unknowns)
   alpha = 6.4: relative residual 0.985861  (27 equations, 2 unknowns)
   alpha = 6.45: relative residual 0.985828  (27 equations, 2 unknowns)
   alpha = 6.5: relative residual 0.985794  (27 equations, 2 unknowns)
   alpha = 6.55: relative residual 0.985757  (27 equations, 2 unknowns)
   alpha = 6.6: relative residual 0.985719  (27 equations, 2 unknowns)
   alpha = 6.65: relative residual 0.98568  (27 equations, 2 unknowns)
   alpha = 6.7: relative residual 0.985639  (27 equations, 2 unknowns)
   alpha = 6.75: relative residual 0.985596  (27 equations, 2 unknowns)
   alpha = 6.8: relative residual 0.985553  (27 equations, 2 unknowns)
   alpha = 6.85: relative residual 0.985509  (27 equations, 2 unknowns)
   alpha = 6.9: relative residual 0.985463  (27 equations, 2 unknowns)
   alpha = 6.95: relative residual 0.985418  (27 equations, 2 unknowns)
   alpha = 7.0: relative residual 0.985371  (27 equations, 2 unknowns)
   alpha = 7.05: relative residual 0.985324  (27 equations, 2 unknowns)
   alpha = 7.1: relative residual 0.985277  (27 equations, 2 unknowns)
   alpha = 7.15: relative residual 0.985229  (27 equations, 2 unknowns)
   alpha = 7.2: relative residual 0.985181  (27 equations, 2 unknowns)
   alpha = 7.25: relative residual 0.985133  (27 equations, 2 unknowns)
   alpha = 7.3: relative residual 0.985085  (27 equations, 2 unknowns)
   alpha = 7.35: relative residual 0.985037  (27 equations, 2 unknowns)
   alpha = 7.4: relative residual 0.984989  (27 equations, 2 unknowns)
   alpha = 7.45: relative residual 0.984941  (27 equations, 2 unknowns)
   alpha = 7.5: relative residual 0.984893  (27 equations, 2 unknowns)
   alpha = 7.55: relative residual 0.984845  (27 equations, 2 unknowns)
