F00 1 4 01 = {0, 0, 0, 0, -1/10, 0, 0, 0, 0, 0, -291/280, 9/140, 0, 0, -11/20, 0, 0, 0, 0, 0, 102499/3360, 67/56, -5/168, 0, 0, 1121/56, 17/28, 0, 0, 19/8, 0, 0, 0, 0, 0, -14352589/21120, -202573/3520, -345/352, 7/528, 0, 0, -464663/960, -611/16, -23/48, 0, 0, -2559/32, -75/16, 0, 0, -63/16, 0, 0, 0, 0}
F00 2 4 00 = {0, 0, 0, -2/5, 0, 0, 0, 0, 0, 73/14, 2/7, 0, 0, 14/5, 0, 0, 0, 0, 0, -7963/120, -7, -1/6, 0, 0, -309/7, -27/7, 0, 0, -11/2, 0, 0, 0, 0, 0, 389965/352, 12395/88, 573/88, 1/11, 0, 0, 95491/120, 385/4, 11/3, 0, 0, 1079/8, 13, 0, 0, 7, 0, 0, 0, 0, 0}
F00 2 4 10 = {0, 0, 0, 0, 0, 0, -2/5, 0, 0, 0, 0, 0, 0, 73/14, 2/7, 0, 14/5, 0, 0, 0, 0, 0, 0, 0, -7963/120, -7, -1/6, 0, -309/7, -27/7, 0, -11/2, 0, 0, 0, 0, 0, 0, 0, 0, 389965/352, 12395/88, 573/88, 1/11, 0, 95491/120, 385/4, 11/3, 0, 1079/8, 13, 0, 7, 0, 0}
F00 2 4 01 = {0, 0, 0, 0, -2/5, 0, 0, 0, 0, 0, 73/14, 2/7, 0, 0, 14/5, 0, 0, 0, 0, 0, -7963/120, -7, -1/6, 0, 0, -309/7, -27/7, 0, 0, -11/2, 0, 0, 0, 0, 0, 389965/352, 12395/88, 573/88, 1/11, 0, 0, 95491/120, 385/4, 11/3, 0, 0, 1079/8, 13, 0, 0, 7, 0, 0, 0, 0}
F00 3 4 00 = {0, 0, 0, 12/5, 0, 0, 0, 0, 0, -438/35, -66/35, 0, 0, -34/5, 0, 0, 0, 0, 0, 48533/420, 265/14, 26/21, 0, 0, 1087/14, 76/7, 0, 0, 10, 0, 0, 0, 0, 0, -1078123/660, -59307/220, -216/11, -25/33, 0, 0, -70853/60, -188, -35/3, 0, 0, -204, -27, 0, 0, -11, 0, 0, 0, 0, 0}
F00 3 4 10 = {0, 0, 0, 0, 0, 0, 12/5, 0, 0, 0, 0, 0, 0, -438/35, -66/35, 0, -34/5, 0, 0, 0, 0, 0, 0, 0, 48533/420, 265/14, 26/21, 0, 1087/14, 76/7, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, -1078123/660, -59307/220, -216/11, -25/33, 0, -70853/60, -188, -35/3, 0, -204, -27, 0, -11, 0, 0}
F00 3 4 01 = {0, 0, 0, 0, 12/5, 0, 0, 0, 0, 0, -438/35, -66/35, 0, 0, -34/5, 0, 0, 0, 0, 0, 48533/420, 265/14, 26/21, 0, 0, 1087/14, 76/7, 0, 0, 10, 0, 0, 0, 0, 0, -1078123/660, -59307/220, -216/11, -25/33, 0, 0, -70853/60, -188, -35/3, 0, 0, -204, -27, 0, 0, -11, 0, 0, 0, 0}
F00 4 4 00 = {0, 0, 0, -32/5, 0, 0, 0, 0, 0, 816/35, 192/35, 0, 0, 64/5, 0, 0, 0, 0, 0, -18782/105, -272/7, -80/21, 0, 0, -848/7, -160/7, 0, 0, -16, 0, 0, 0, 0, 0, 372884/165, 24856/55, 480/11, 80/33, 0, 0, 24632/15, 320, 80/3, 0, 0, 288, 48, 0, 0, 16, 0, 0, 0, 0, 0}
F00 4 4 10 = {0, 0, 0, 0, 0, 0, -32/5, 0, 0, 0, 0, 0, 0, 816/35, 192/35, 0, 64/5, 0, 0, 0, 0, 0, 0, 0, -18782/105, -272/7, -80/21, 0, -848/7, -160/7, 0, -16, 0, 0, 0, 0, 0, 0, 0, 0, 372884/165, 24856/55, 480/11, 80/33, 0, 24632/15, 320, 80/3, 0, 288, 48, 0, 16, 0, 0}
F00 4 4 01 = {0, 0, 0, 0, -32/5, 0, 0, 0, 0, 0, 816/35, 192/35, 0, 0, 64/5, 0, 0, 0, 0, 0, -18782/105, -272/7, -80/21, 0, 0, -848/7, -160/7, 0, 0, -16, 0, 0, 0, 0, 0, 372884/165, 24856/55, 480/11, 80/33, 0, 0, 24632/15, 320, 80/3, 0, 0, 288, 48, 0, 0, 16, 0, 0, 0, 0}
F00 5 4 00 = {0, 0, 0, 64/5, 0, 0, 0, 0, 0, -1328/35, -416/35, 0, 0, -736/35, 0, 0, 0, 0, 0, 26984/105, 480/7, 176/21, 0, 0, 3680/21, 288/7, 0, 0, 496/21, 0, 0, 0, 0, 0, -164434/55, -38188/55, -876/11, -56/11, 0, 0, -360044/165, -1496/3, -152/3, 0, 0, -12788/33, -232/3, 0, 0, -728/33, 0, 0, 0, 0, 0}
F00 5 4 10 = {0, 0, 0, 0, 0, 0, 64/5, 0, 0, 0, 0, 0, 0, -1328/35, -416/35, 0, -736/35, 0, 0, 0, 0, 0, 0, 0, 26984/105, 480/7, 176/21, 0, 3680/21, 288/7, 0, 496/21, 0, 0, 0, 0, 0, 0, 0, 0, -164434/55, -38188/55, -876/11, -56/11, 0, -360044/165, -1496/3, -152/3, 0, -12788/33, -232/3, 0, -728/33, 0, 0}
