F00 5 3 10 = {0, 0, 0, 0, 0, 0, -64/3, 0, 0, 0, 0, 0, 0, 4400/21, 32, 0, 160/7, 0, 0, 0, 0, 0, 0, 0, -8008/3, -480, -240/7, 0, -10400/21, -480/7, 0, -400/21, 0, 0, 0, 0, 0, 0, 0, 0, 1590610/33, 78508/9, 6460/9, 280/9, 0, 1075340/99, 5480/3, 120, 0, 71300/99, 280/3, 0, 1400/99, 0, 0}
F00 5 3 01 = {0, 0, 0, 0, -64/3, 0, 0, 0, 0, 0, 4400/21, 32, 0, 0, 160/7, 0, 0, 0, 0, 0, -8008/3, -480, -240/7, 0, 0, -10400/21, -480/7, 0, 0, -400/21, 0, 0, 0, 0, 0, 1590610/33, 78508/9, 6460/9, 280/9, 0, 0, 1075340/99, 5480/3, 120, 0, 0, 71300/99, 280/3, 0, 0, 1400/99, 0, 0, 0, 0}
F02 1 1 00 = {-7/6, 0, 0, 1129/120, 11/4, 0, 13/20, 0, 0, -54217/672, -247/8, -25/8, 0, -795/56, -17/4, 0, -19/56, 0, 0, 1850209/1920, 77071/192, 5159/96, 133/48, 0, 633467/2880, 1381/16, 147/16, 0, 4097/288, 69/16, 0, 25/144, 0, 0, -266946365/16896, -437835/64, -64451/64, -1103/16, -69/32, 0, -8570185/2112, -55019/32, -3819/16, -105/8, 0, -736567/2112, -2221/16, -243/16, 0, -6265/528, -29/8, 0, -31/352, 0, 0}
F02 1 1 10 = {0, 0, -7/6, 0, 0, 0, 1129/120, 11/4, 13/20, 0, 0, 0, 0, -54217/672, -247/8, -25/8, -795/56, -17/4, -19/56, 0, 0, 0, 0, 0, 1850209/1920, 77071/192, 5159/96, 133/48, 633467/2880, 1381/16, 147/16, 4097/288, 69/16, 25/144, 0, 0, 0, 0, 0, 0, -266946365/16896, -437835/64, -64451/64, -1103/16, -69/32, -8570185/2112, -55019/32, -3819/16, -105/8, -736567/2112, -2221/16, -243/16, -6265/528, -29/8, -31/352}
F02 1 1 01 = {0, -7/6, 0, 0, 1129/120, 11/4, 0, 13/20, 0, 0, -54217/672, -247/8, -25/8, 0, -795/56, -17/4, 0, -19/56, 0, 0, 1850209/1920, 77071/192, 5159/96, 133/48, 0, 633467/2880, 1381/16, 147/16, 0, 4097/288, 69/16, 0, 25/144, 0, 0, -266946365/16896, -437835/64, -64451/64, -1103/16, -69/32, 0, -8570185/2112, -55019/32, -3819/16, -105/8, 0, -736567/2112, -2221/16, -243/16, 0, -6265/528, -29/8, 0, -31/352, 0}
F02 2 1 00 = {14/15, 0, 0, -409/42, -16/5, 0, -4/7, 0, 0, 69829/840, 507/14, 9/2, 0, 611/42, 33/7, 0, 13/42, 0, 0, -1039553/1056, -54119/120, -1723/24, -14/3, 0, -178091/792, -1165/12, -12, 0, -11483/792, -14/3, 0, -16/99, 0, 0, 30838382327/1921920, 1309981/176, 19939/16, 415/4, 33/8, 0, 198182591/48048, 165399/88, 1191/4, 39/2, 0, 2435975/6864, 6703/44, 75/4, 0, 20681/1716, 85/22, 0, 95/1144, 0, 0}
F02 2 1 10 = {0, 0, 14/15, 0, 0, 0, -409/42, -16/5, -4/7, 0, 0, 0, 0, 69829/840, 507/14, 9/2, 611/42, 33/7, 13/42, 0, 0, 0, 0, 0, -1039553/1056, -54119/120, -1723/24, -14/3, -178091/792, -1165/12, -12, -11483/792, -14/3, -16/99, 0, 0, 0, 0, 0, 0, 30838382327/1921920, 1309981/176, 19939/16, 415/4, 33/8, 198182591/48048, 165399/88, 1191/4, 39/2, 2435975/6864, 6703/44, 75/4, 20681/1716, 85/22, 95/1144}
F02 2 1 01 = {0, 14/15, 0, 0, -409/42, -16/5, 0, -4/7, 0, 0, 69829/840, 507/14, 9/2, 0, 611/42, 33/7, 0, 13/42, 0, 0, -1039553/1056, -54119/120, -1723/24, -14/3, 0, -178091/792, -1165/12, -12, 0, -11483/792, -14/3, 0, -16/99, 0, 0, 30838382327/1921920, 1309981/176, 19939/16, 415/4, 33/8, 0, 198182591/48048, 165399/88, 1191/4, 39/2, 0, 2435975/6864, 6703/44, 75/4, 0, 20681/1716, 85/22, 0, 95/1144, 0}
F02 3 1 00 = {-4/5, 0, 0, 354/35, 18/5, 0, 18/35, 0, 0, -11997/140, -583/14, -6, 0, -209/14, -36/7, 0, -2/7, 0, 0, 221283/220, 10047/20, 92, 7, 0, 151753/660, 108, 15, 0, 488/33, 5, 0, 5/33, 0, 0, -5220327261/320320, -1419501/176, -6045/4, -585/4, -27/4, 0, -67155513/16016, -44973/22, -1449/4, -27, 0, -206595/572, -7305/44, -45/2, 0, -7005/572, -45/11, 0, -45/572, 0, 0}
F02 3 1 10 = {0, 0, -4/5, 0, 0, 0, 354/35, 18/5, 18/35, 0, 0, 0, 0, -11997/140, -583/14, -6, -209/14, -36/7, -2/7, 0, 0, 0, 0, 0, 221283/220, 10047/20, 92, 7, 151753/660, 108, 15, 488/33, 5, 5/33, 0, 0, 0, 0, 0, 0, -5220327261/320320, -1419501/176, -6045/4, -585/4, -27/4, -67155513/16016, -44973/22, -1449/4, -27, -206595/572, -7305/44, -45/2, -7005/572, -45/11, -45/572}
F02 3 1 01 = {0, -4/5, 0, 0, 354/35, 18/5, 0, 18/35, 0, 0, -11997/140, -583/14, -6, 0, -209/14, -36/7, 0, -2/7, 0, 0, 221283/220, 10047/20, 92, 7, 0, 151753/660, 108, 15, 0, 488/33, 5, 0, 5/33, 0, 0, -5220327261/320320, -1419501/176, -6045/4, -585/4, -27/4, 0, -67155513/16016, -44973/22, -1449/4, -27, 0, -206595/572, -7305/44, -45/2, 0, -7005/572, -45/11, 0, -45/572, 0}
F02 1 2 00 = {7/2, 0, 0, -245/8, -13/4, 0, -15/4, 0, 0, 12271/32, 465/8, 19/8, 0, 571/8, 35/4, 0, 23/8, 0, 0, -830285/128, -74371/64, -2255/32, -25/16, 0, -93601/64, -3871/16, -189/16, 0, -3107/32, -203/16, 0, -31/16, 0, 0, 73693015/512, 1809085/64, 131425/64, 1105/16, 31/32, 0, 2306527/64, 218001/32, 7317/16, 99/8, 0, 191821/64, 8307/16, 441/16, 0, 1639/16, 111/8, 0, 39/32, 0, 0}
F02 1 2 10 = {0, 0, 7/2, 0, 0, 0, -245/8, -13/4, -15/4, 0, 0, 0, 0, 12271/32, 465/8, 19/8, 571/8, 35/4, 23/8, 0, 0, 0, 0, 0, -830285/128, -74371/64, -2255/32, -25/16, -93601/64, -3871/16, -189/16, -3107/32, -203/16, -31/16, 0, 0, 0, 0, 0, 0, 73693015/512, 1809085/64, 131425/64, 1105/16, 31/32, 2306527/64, 218001/32, 7317/16, 99/8, 191821/64, 8307/16, 441/16, 1639/16, 111/8, 39/32}
F02 1 2 01 = {0, 7/2, 0, 0, -245/8, -13/4, 0, -15/4, 0, 0, 12271/32, 465/8, 19/8, 0, 571/8, 35/4, 0, 23/8, 0, 0, -830285/128, -74371/64, -2255/32, -25/16, 0, -93601/64, -3871/16, -189/16, 0, -3107/32, -203/16, 0, -31/16, 0, 0, 73693015/512, 1809085/64, 131425/64, 1105/16, 31/32, 0, 2306527/64, 218001/32, 7317/16, 99/8, 0, 191821/64, 8307/16, 441/16, 0, 1639/16, 111/8, 0, 39/32, 0}
F02 2 2 00 = {-14/3, 0, 0, 1201/30, 6, 0, 22/5, 0, 0, -77977/168, -89, -11/2, 0, -599/7, -13, 0, -45/14, 0, 0, 3576121/480, 37523/24, 2981/24, 13/3, 0, 605689/360, 1313/4, 21, 0, 8015/72, 17, 0, 19/9, 0, 0, -674703965/4224, -280865/8, -48969/16, -138, -25/8, 0, -10585697/264, -68255/8, -696, -51/2, 0, -1766665/528, -658, -171/4, 0, -3772/33, -35/2, 0, -115/88, 0, 0}
F02 2 2 10 = {0, 0, -14/3, 0, 0, 0, 1201/30, 6, 22/5, 0, 0, 0, 0, -77977/168, -89, -11/2, -599/7, -13, -45/14, 0, 0, 0, 0, 0, 3576121/480, 37523/24, 2981/24, 13/3, 605689/360, 1313/4, 21, 8015/72, 17, 19/9, 0, 0, 0, 0, 0, 0, -674703965/4224, -280865/8, -48969/16, -138, -25/8, -10585697/264, -68255/8, -696, -51/2, -1766665/528, -658, -171/4, -3772/33, -35/2, -115/88}
F02 2 2 01 = {0, -14/3, 0, 0, 1201/30, 6, 0, 22/5, 0, 0, -77977/168, -89, -11/2, 0, -599/7, -13, 0, -45/14, 0, 0, 3576121/480, 37523/24, 2981/24, 13/3, 0, 605689/360, 1313/4, 21, 0, 8015/72, 17, 0, 19/9, 0, 0, -674703965/4224, -280865/8, -48969/16, -138, -25/8, 0, -10585697/264, -68255/8, -696, -51/2, 0, -1766665/528, -658, -171/4, 0, -3772/33, -35/2, 0, -115/88, 0}
F02 3 2 00 = {28/5, 0, 0, -1742/35, -46/5, 0, -174/35, 0, 0, 76619/140, 1753/14, 10, 0, 4205/42, 124/7, 0, 74/21, 0, 0, -1855629/220, -40289/20, -196, -9, 0, -419613/220, -1276/3, -33, 0, -1384/11, -65/3, 0, -25/11, 0, 0, 56304781067/320320, 7489011/176, 17227/4, 967/4, 29/4, 0, 708259815/16016, 229051/22, 3975/4, 45, 0, 2116885/572, 35655/44, 123/2, 0, 72275/572, 235/11, 0, 795/572, 0, 0}
F02 3 2 10 = {0, 0, 28/5, 0, 0, 0, -1742/35, -46/5, -174/35, 0, 0, 0, 0, 76619/140, 1753/14, 10, 4205/42, 124/7, 74/21, 0, 0, 0, 0, 0, -1855629/220, -40289/20, -196, -9, -419613/220, -1276/3, -33, -1384/11, -65/3, -25/11, 0, 0, 0, 0, 0, 0, 56304781067/320320, 7489011/176, 17227/4, 967/4, 29/4, 708259815/16016, 229051/22, 3975/4, 45, 2116885/572, 35655/44, 123/2, 72275/572, 235/11, 795/572}
F02 3 2 01 = {0, 28/5, 0, 0, -1742/35, -46/5, 0, -174/35, 0, 0, 76619/140, 1753/14, 10, 0, 4205/42, 124/7, 0, 74/21, 0, 0, -1855629/220, -40289/20, -196, -9, 0, -419613/220, -1276/3, -33, 0, -1384/11, -65/3, 0, -25/11, 0, 0, 56304781067/320320, 7489011/176, 17227/4, 967/4, 29/4, 0, 708259815/16016, 229051/22, 3975/4, 45, 0, 2116885/572, 35655/44, 123/2, 0, 72275/572, 235/11, 0, 795/572, 0}
F02 4 2 00 = {-32/5, 0, 0, 2096/35, 64/5, 0, 192/35, 0, 0, -22154/35, -1168/7, -16, 0, -2416/21, -160/7, 0, -80/21, 0, 0, 519228/55, 12584/5, 288, 16, 0, 352648/165, 1600/3, 48, 0, 4640/33, 80/3, 0, 80/33, 0, 0, -7690638541/40040, -556782/11, -5818, -388, -14, 0, -48463458/1001, -137012/11, -1356, -72, 0, -580870/143, -10740/11, -84, 0, -19820/143, -280/11, 0, -210/143, 0, 0}
F02 4 2 10 = {0, 0, -32/5, 0, 0, 0, 2096/35, 64/5, 192/35, 0, 0, 0, 0, -22154/35, -1168/7, -16, -2416/21, -160/7, -80/21, 0, 0, 0, 0, 0, 519228/55, 12584/5, 288, 16, 352648/165, 1600/3, 48, 4640/33, 80/3, 80/33, 0, 0, 0, 0, 0, 0, -7690638541/40040, -556782/11, -5818, -388, -14, -48463458/1001, -137012/11, -1356, -72, -580870/143, -10740/11, -84, -19820/143, -280/11, -210/143}
F02 4 2 01 = {0, -32/5, 0, 0, 2096/35, 64/5, 0, 192/35, 0, 0, -22154/35, -1168/7, -16, 0, -2416/21, -160/7, 0, -80/21, 0, 0, 519228/55, 12584/5, 288, 16, 0, 352648/165, 1600/3, 48, 0, 4640/33, 80/3, 0, 80/33, 0, 0, -7690638541/40040, -556782/11, -5818, -388, -14, 0, -48463458/1001, -137012/11, -1356, -72, 0, -580870/143, -10740/11, -84, 0, -19820/143, -280/11, 0, -210/143, 0}
